急售，金融街二龙路国家单位楼的电梯房2室1厅，管理好,940,2室1厅 | 60.9平米 | 西北 | 精装 | 低楼层(共17层) | 1985年建 | 塔楼, 西北 
平原里 中间楼层 前后无遮挡 地铁陶然亭站,515,1室1厅 | 50.49平米 | 东 西 | 精装 | 中楼层(共6层) | 1998年建 | 板楼, 东 西 
满五唯一，不临街、无遮挡、南北通透大三居,1920,3室1厅 | 158.01平米 | 南 北 | 简装 | 中楼层(共8层) | 2003年建 | 板楼, 南 北 
此房南向，楼层好，视野宽阔，采光充足,422,1室1厅 | 48.11平米 | 南 北 | 精装 | 顶层(共14层) | 1986年建 | 板楼, 南 北 
西南二环内 牛街商圈 白广路二条4号院 诚心出售,390,2室1厅 | 45.41平米 | 南 北 | 简装 | 底层(共4层) | 1977年建 | 板楼, 南 北 
满五年不唯一 带电梯 小区管理好 业主随时签约,588,2室1厅 | 54.95平米 | 南 | 简装 | 中楼层(共14层) | 1980年建 | 板塔结合, 南 
西城二环内牛街东南向一居室 带电梯1999年钢混,480,1室1厅 | 56.98平米 | 东南 | 毛坯 | 中楼层(共20层) | 1999年建 | 塔楼, 东南 
满五唯一商品房，南北通透三居室，生活和交通好,765,3室1厅 | 83.2平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2000年建 | 板楼, 南 北 
青春无限 2004年商品房小区  精装修,410,1室0厅 | 52.59平米 | 西 | 精装 | 中楼层(共22层) | 2004年建 | 塔楼, 西 
南北通透 楼层是中间层 满五年家庭唯一,518,1室1厅 | 50.12平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼, 南 北 
南北通透一室一厅，96年的房子，不临街，单位分房,630,1室1厅 | 46.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼, 南 北 
西城月坛 金融街  铁道部宿舍 东西北三居,666,3室1厅 | 66.1平米 | 东 西 北 | 简装 | 底层(共3层) | 1954年建 | 板楼, 东 西 北 
牛街西里西南向两居 精装修采光好 诚意出售,608,2室1厅 | 73.33平米 | 西南 | 精装 | 中楼层(共19层) | 1999年建 | 塔楼, 西南 
西城区 北欧印象 正规三居室，对花园无遮挡,775,3室1厅 | 94.81平米 | 东 | 精装 | 低楼层(共28层) | 2003年建 | 塔楼, 东 
西单，金融街，一梯两户朝东观景一居室,558,1室0厅 | 37.05平米 | 东 | 简装 | 低楼层(共6层) | 2005年建 | 板楼, 东 
菜市口，精装修两居室，有电梯，楼龄新，采光充足,650,2室1厅 | 68.95平米 | 南 北 | 精装 | 中楼层(共10层) | 2004年建 | 板塔结合, 南 北 
房屋满五年 诚心出售 采光充足,515,2室1厅 | 53.97平米 | 南 | 简装 | 低楼层(共20层) | 1983年建 | 塔楼, 南 
电梯刷卡到层，满五年唯一，业主诚售,985,3室1厅 | 79.2平米 | 东南 | 精装 | 中楼层(共21层) | 1989年建 | 塔楼, 东南 
新街口东街 中间楼层 朝南正规一居室 精装修,666,1室1厅 | 45.2平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼, 南 
德胜门，上下复式 四居室 满五唯一 采光好封闭小区,2150,4室2厅 | 200.46平米 | 南 北 | 精装 | 中楼层(共7层) | 2003年建 | 板楼, 南 北 
满五年的三居室东南朝向全明格局三面朝阳包带保姆房,1250,3室2厅 | 149.6平米 | 东 南 | 简装 | 中楼层(共23层) | 1996年建 | 塔楼, 东 南 
97年中石油家属楼，地下停车场，电梯直达，封闭式管理,1071,2室1厅 | 84.1平米 | 东 西 | 精装 | 中楼层(共12层) | 1997年建 | 板楼, 东 西 
2005年融城  西南向三室一厅两卫,1760,3室1厅 | 162.82平米 | 南 | 简装 | 低楼层(共21层) | 2005年建 | 板塔结合, 南 
丽水莲花 2室1厅 南,910,2室1厅 | 104平米 | 南 | 简装 | 高楼层(共28层) | 2007年建 | 塔楼, 南 
真武庙六里东南三居，俯瞰护城河视野开阔，1990年楼龄,980,3室1厅 | 79.4平米 | 东南 南 | 简装 | 顶层(共19层) | 1990年建 | 塔楼, 东南 南 
槐柏树街南里 南北通透两居室 精装修,600,2室1厅 | 60.81平米 | 南 北 | 精装 | 中楼层(共6层) | 1991年建 | 板楼, 南 北 
满五年，正规两居，南北通透，央产房,有电梯有车位,950,2室2厅 | 95.13平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼, 南 北 
二环内 2001年 华北电力央产 带电梯,1020,3室2厅 | 119.12平米 | 南 北 | 简装 | 高楼层(共14层) | 2001年建 | 板塔结合, 南 北 
南北通三居，人车分流，采光充足！诚意出售。,2410,3室2厅 | 191.07平米 | 南 北 | 简装 | 低楼层(共13层) | 2002年建 | 板楼, 南 北 
似海怡家通透户型两居满五年唯一看房有钥匙,778,2室1厅 | 85.04平米 | 东南 | 简装 | 高楼层(共25层) | 2002年建 | 塔楼, 东南 
急售，金融街二龙路国家单位楼的电梯房2室1厅，管理好,940,2室1厅 | 60.9平米 | 西北 | 精装 | 低楼层(共17层) | 1985年建 | 塔楼, 西北 
平原里 中间楼层 前后无遮挡 地铁陶然亭站,515,1室1厅 | 50.49平米 | 东 西 | 精装 | 中楼层(共6层) | 1998年建 | 板楼, 东 西 
满五唯一，不临街、无遮挡、南北通透大三居,1920,3室1厅 | 158.01平米 | 南 北 | 简装 | 中楼层(共8层) | 2003年建 | 板楼, 南 北 
此房南向，楼层好，视野宽阔，采光充足,422,1室1厅 | 48.11平米 | 南 北 | 精装 | 顶层(共14层) | 1986年建 | 板楼, 南 北 
西南二环内 牛街商圈 白广路二条4号院 诚心出售,390,2室1厅 | 45.41平米 | 南 北 | 简装 | 底层(共4层) | 1977年建 | 板楼, 南 北 
满五年不唯一 带电梯 小区管理好 业主随时签约,588,2室1厅 | 54.95平米 | 南 | 简装 | 中楼层(共14层) | 1980年建 | 板塔结合, 南 
西城二环内牛街东南向一居室 带电梯1999年钢混,480,1室1厅 | 56.98平米 | 东南 | 毛坯 | 中楼层(共20层) | 1999年建 | 塔楼, 东南 
满五唯一商品房，南北通透三居室，生活和交通好,765,3室1厅 | 83.2平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2000年建 | 板楼, 南 北 
青春无限 2004年商品房小区  精装修,410,1室0厅 | 52.59平米 | 西 | 精装 | 中楼层(共22层) | 2004年建 | 塔楼, 西 
南北通透 楼层是中间层 满五年家庭唯一,518,1室1厅 | 50.12平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼, 南 北 
南北通透一室一厅，96年的房子，不临街，单位分房,630,1室1厅 | 46.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼, 南 北 
西城月坛 金融街  铁道部宿舍 东西北三居,666,3室1厅 | 66.1平米 | 东 西 北 | 简装 | 底层(共3层) | 1954年建 | 板楼, 东 西 北 
牛街西里西南向两居 精装修采光好 诚意出售,608,2室1厅 | 73.33平米 | 西南 | 精装 | 中楼层(共19层) | 1999年建 | 塔楼, 西南 
西城区 北欧印象 正规三居室，对花园无遮挡,775,3室1厅 | 94.81平米 | 东 | 精装 | 低楼层(共28层) | 2003年建 | 塔楼, 东 
西单，金融街，一梯两户朝东观景一居室,558,1室0厅 | 37.05平米 | 东 | 简装 | 低楼层(共6层) | 2005年建 | 板楼, 东 
菜市口，精装修两居室，有电梯，楼龄新，采光充足,650,2室1厅 | 68.95平米 | 南 北 | 精装 | 中楼层(共10层) | 2004年建 | 板塔结合, 南 北 
房屋满五年 诚心出售 采光充足,515,2室1厅 | 53.97平米 | 南 | 简装 | 低楼层(共20层) | 1983年建 | 塔楼, 南 
电梯刷卡到层，满五年唯一，业主诚售,985,3室1厅 | 79.2平米 | 东南 | 精装 | 中楼层(共21层) | 1989年建 | 塔楼, 东南 
新街口东街 中间楼层 朝南正规一居室 精装修,666,1室1厅 | 45.2平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼, 南 
德胜门，上下复式 四居室 满五唯一 采光好封闭小区,2150,4室2厅 | 200.46平米 | 南 北 | 精装 | 中楼层(共7层) | 2003年建 | 板楼, 南 北 
满五年的三居室东南朝向全明格局三面朝阳包带保姆房,1250,3室2厅 | 149.6平米 | 东 南 | 简装 | 中楼层(共23层) | 1996年建 | 塔楼, 东 南 
97年中石油家属楼，地下停车场，电梯直达，封闭式管理,1071,2室1厅 | 84.1平米 | 东 西 | 精装 | 中楼层(共12层) | 1997年建 | 板楼, 东 西 
2005年融城  西南向三室一厅两卫,1760,3室1厅 | 162.82平米 | 南 | 简装 | 低楼层(共21层) | 2005年建 | 板塔结合, 南 
丽水莲花 2室1厅 南,910,2室1厅 | 104平米 | 南 | 简装 | 高楼层(共28层) | 2007年建 | 塔楼, 南 
真武庙六里东南三居，俯瞰护城河视野开阔，1990年楼龄,980,3室1厅 | 79.4平米 | 东南 南 | 简装 | 顶层(共19层) | 1990年建 | 塔楼, 东南 南 
槐柏树街南里 南北通透两居室 精装修,600,2室1厅 | 60.81平米 | 南 北 | 精装 | 中楼层(共6层) | 1991年建 | 板楼, 南 北 
满五年，正规两居，南北通透，央产房,有电梯有车位,950,2室2厅 | 95.13平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼, 南 北 
二环内 2001年 华北电力央产 带电梯,1020,3室2厅 | 119.12平米 | 南 北 | 简装 | 高楼层(共14层) | 2001年建 | 板塔结合, 南 北 
南北通三居，人车分流，采光充足！诚意出售。,2410,3室2厅 | 191.07平米 | 南 北 | 简装 | 低楼层(共13层) | 2002年建 | 板楼, 南 北 
似海怡家通透户型两居满五年唯一看房有钥匙,778,2室1厅 | 85.04平米 | 东南 | 简装 | 高楼层(共25层) | 2002年建 | 塔楼, 东南 
急售，金融街二龙路国家单位楼的电梯房2室1厅，管理好,940,2室1厅 | 60.9平米 | 西北 | 精装 | 低楼层(共17层) | 1985年建 | 塔楼, 西北 
平原里 中间楼层 前后无遮挡 地铁陶然亭站,515,1室1厅 | 50.49平米 | 东 西 | 精装 | 中楼层(共6层) | 1998年建 | 板楼, 东 西 
满五唯一，不临街、无遮挡、南北通透大三居,1920,3室1厅 | 158.01平米 | 南 北 | 简装 | 中楼层(共8层) | 2003年建 | 板楼, 南 北 
此房南向，楼层好，视野宽阔，采光充足,422,1室1厅 | 48.11平米 | 南 北 | 精装 | 顶层(共14层) | 1986年建 | 板楼, 南 北 
西南二环内 牛街商圈 白广路二条4号院 诚心出售,390,2室1厅 | 45.41平米 | 南 北 | 简装 | 底层(共4层) | 1977年建 | 板楼, 南 北 
满五年不唯一 带电梯 小区管理好 业主随时签约,588,2室1厅 | 54.95平米 | 南 | 简装 | 中楼层(共14层) | 1980年建 | 板塔结合, 南 
西城二环内牛街东南向一居室 带电梯1999年钢混,480,1室1厅 | 56.98平米 | 东南 | 毛坯 | 中楼层(共20层) | 1999年建 | 塔楼, 东南 
满五唯一商品房，南北通透三居室，生活和交通好,765,3室1厅 | 83.2平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2000年建 | 板楼, 南 北 
青春无限 2004年商品房小区  精装修,410,1室0厅 | 52.59平米 | 西 | 精装 | 中楼层(共22层) | 2004年建 | 塔楼, 西 
南北通透 楼层是中间层 满五年家庭唯一,518,1室1厅 | 50.12平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼, 南 北 
南北通透一室一厅，96年的房子，不临街，单位分房,630,1室1厅 | 46.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼, 南 北 
西城月坛 金融街  铁道部宿舍 东西北三居,666,3室1厅 | 66.1平米 | 东 西 北 | 简装 | 底层(共3层) | 1954年建 | 板楼, 东 西 北 
牛街西里西南向两居 精装修采光好 诚意出售,608,2室1厅 | 73.33平米 | 西南 | 精装 | 中楼层(共19层) | 1999年建 | 塔楼, 西南 
西城区 北欧印象 正规三居室，对花园无遮挡,775,3室1厅 | 94.81平米 | 东 | 精装 | 低楼层(共28层) | 2003年建 | 塔楼, 东 
西单，金融街，一梯两户朝东观景一居室,558,1室0厅 | 37.05平米 | 东 | 简装 | 低楼层(共6层) | 2005年建 | 板楼, 东 
菜市口，精装修两居室，有电梯，楼龄新，采光充足,650,2室1厅 | 68.95平米 | 南 北 | 精装 | 中楼层(共10层) | 2004年建 | 板塔结合, 南 北 
房屋满五年 诚心出售 采光充足,515,2室1厅 | 53.97平米 | 南 | 简装 | 低楼层(共20层) | 1983年建 | 塔楼, 南 
电梯刷卡到层，满五年唯一，业主诚售,985,3室1厅 | 79.2平米 | 东南 | 精装 | 中楼层(共21层) | 1989年建 | 塔楼, 东南 
新街口东街 中间楼层 朝南正规一居室 精装修,666,1室1厅 | 45.2平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼, 南 
德胜门，上下复式 四居室 满五唯一 采光好封闭小区,2150,4室2厅 | 200.46平米 | 南 北 | 精装 | 中楼层(共7层) | 2003年建 | 板楼, 南 北 
满五年的三居室东南朝向全明格局三面朝阳包带保姆房,1250,3室2厅 | 149.6平米 | 东 南 | 简装 | 中楼层(共23层) | 1996年建 | 塔楼, 东 南 
97年中石油家属楼，地下停车场，电梯直达，封闭式管理,1071,2室1厅 | 84.1平米 | 东 西 | 精装 | 中楼层(共12层) | 1997年建 | 板楼, 东 西 
2005年融城  西南向三室一厅两卫,1760,3室1厅 | 162.82平米 | 南 | 简装 | 低楼层(共21层) | 2005年建 | 板塔结合, 南 
丽水莲花 2室1厅 南,910,2室1厅 | 104平米 | 南 | 简装 | 高楼层(共28层) | 2007年建 | 塔楼, 南 
真武庙六里东南三居，俯瞰护城河视野开阔，1990年楼龄,980,3室1厅 | 79.4平米 | 东南 南 | 简装 | 顶层(共19层) | 1990年建 | 塔楼, 东南 南 
槐柏树街南里 南北通透两居室 精装修,600,2室1厅 | 60.81平米 | 南 北 | 精装 | 中楼层(共6层) | 1991年建 | 板楼, 南 北 
满五年，正规两居，南北通透，央产房,有电梯有车位,950,2室2厅 | 95.13平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼, 南 北 
二环内 2001年 华北电力央产 带电梯,1020,3室2厅 | 119.12平米 | 南 北 | 简装 | 高楼层(共14层) | 2001年建 | 板塔结合, 南 北 
南北通三居，人车分流，采光充足！诚意出售。,2410,3室2厅 | 191.07平米 | 南 北 | 简装 | 低楼层(共13层) | 2002年建 | 板楼, 南 北 
似海怡家通透户型两居满五年唯一看房有钥匙,778,2室1厅 | 85.04平米 | 东南 | 简装 | 高楼层(共25层) | 2002年建 | 塔楼, 东南 
急售，金融街二龙路国家单位楼的电梯房2室1厅，管理好,940,2室1厅 | 60.9平米 | 西北 | 精装 | 低楼层(共17层) | 1985年建 | 塔楼, 西北 
平原里 中间楼层 前后无遮挡 地铁陶然亭站,515,1室1厅 | 50.49平米 | 东 西 | 精装 | 中楼层(共6层) | 1998年建 | 板楼, 东 西 
满五唯一，不临街、无遮挡、南北通透大三居,1920,3室1厅 | 158.01平米 | 南 北 | 简装 | 中楼层(共8层) | 2003年建 | 板楼, 南 北 
此房南向，楼层好，视野宽阔，采光充足,422,1室1厅 | 48.11平米 | 南 北 | 精装 | 顶层(共14层) | 1986年建 | 板楼, 南 北 
西南二环内 牛街商圈 白广路二条4号院 诚心出售,390,2室1厅 | 45.41平米 | 南 北 | 简装 | 底层(共4层) | 1977年建 | 板楼, 南 北 
满五年不唯一 带电梯 小区管理好 业主随时签约,588,2室1厅 | 54.95平米 | 南 | 简装 | 中楼层(共14层) | 1980年建 | 板塔结合, 南 
西城二环内牛街东南向一居室 带电梯1999年钢混,480,1室1厅 | 56.98平米 | 东南 | 毛坯 | 中楼层(共20层) | 1999年建 | 塔楼, 东南 
满五唯一商品房，南北通透三居室，生活和交通好,765,3室1厅 | 83.2平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2000年建 | 板楼, 南 北 
青春无限 2004年商品房小区  精装修,410,1室0厅 | 52.59平米 | 西 | 精装 | 中楼层(共22层) | 2004年建 | 塔楼, 西 
南北通透 楼层是中间层 满五年家庭唯一,518,1室1厅 | 50.12平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼, 南 北 
南北通透一室一厅，96年的房子，不临街，单位分房,630,1室1厅 | 46.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼, 南 北 
西城月坛 金融街  铁道部宿舍 东西北三居,666,3室1厅 | 66.1平米 | 东 西 北 | 简装 | 底层(共3层) | 1954年建 | 板楼, 东 西 北 
牛街西里西南向两居 精装修采光好 诚意出售,608,2室1厅 | 73.33平米 | 西南 | 精装 | 中楼层(共19层) | 1999年建 | 塔楼, 西南 
西城区 北欧印象 正规三居室，对花园无遮挡,775,3室1厅 | 94.81平米 | 东 | 精装 | 低楼层(共28层) | 2003年建 | 塔楼, 东 
西单，金融街，一梯两户朝东观景一居室,558,1室0厅 | 37.05平米 | 东 | 简装 | 低楼层(共6层) | 2005年建 | 板楼, 东 
菜市口，精装修两居室，有电梯，楼龄新，采光充足,650,2室1厅 | 68.95平米 | 南 北 | 精装 | 中楼层(共10层) | 2004年建 | 板塔结合, 南 北 
房屋满五年 诚心出售 采光充足,515,2室1厅 | 53.97平米 | 南 | 简装 | 低楼层(共20层) | 1983年建 | 塔楼, 南 
电梯刷卡到层，满五年唯一，业主诚售,985,3室1厅 | 79.2平米 | 东南 | 精装 | 中楼层(共21层) | 1989年建 | 塔楼, 东南 
新街口东街 中间楼层 朝南正规一居室 精装修,666,1室1厅 | 45.2平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼, 南 
德胜门，上下复式 四居室 满五唯一 采光好封闭小区,2150,4室2厅 | 200.46平米 | 南 北 | 精装 | 中楼层(共7层) | 2003年建 | 板楼, 南 北 
满五年的三居室东南朝向全明格局三面朝阳包带保姆房,1250,3室2厅 | 149.6平米 | 东 南 | 简装 | 中楼层(共23层) | 1996年建 | 塔楼, 东 南 
97年中石油家属楼，地下停车场，电梯直达，封闭式管理,1071,2室1厅 | 84.1平米 | 东 西 | 精装 | 中楼层(共12层) | 1997年建 | 板楼, 东 西 
2005年融城  西南向三室一厅两卫,1760,3室1厅 | 162.82平米 | 南 | 简装 | 低楼层(共21层) | 2005年建 | 板塔结合, 南 
